domain,subgroup,ti_walking_pct,nonti_walking_pct,relative_risk_ratio,relative_percent_increase,absolute_percentage_point_diff,number_needed_for_one_additional_walker
Overall,Overall,30.9,15.3,2.02,102.0,15.6,6.4
Sex,Female,33.3,13.9,2.4,139.6,19.4,5.2
Sex,Male,28.1,16.7,1.68,68.3,11.4,8.8
Age,18-24,47.9,25.8,1.86,85.7,22.1,4.5
Age,25-34,40.7,19.5,2.09,108.7,21.2,4.7
Age,35-44,29.3,15.5,1.89,89.0,13.8,7.2
Age,45-64,23.4,12.8,1.83,82.8,10.6,9.4
Age,>=65,17.7,10.2,1.74,73.5,7.5,13.3
Race/Ethnicity,Non-Hispanic Black,42.8,16.2,2.64,164.2,26.6,3.8
Race/Ethnicity,Hispanic or Latino/a,31.8,15.4,2.06,106.5,16.4,6.1
Race/Ethnicity,Non-Hispanic White,24.5,14.3,1.71,71.3,10.2,9.8
Education,Less than high school,38.9,14.3,2.72,172.0,24.6,4.1
Education,High school or GED,31.0,12.1,2.56,156.2,18.9,5.3
Education,Some college or associate degree,29.5,13.8,2.14,113.8,15.7,6.4
Education,Bachelor degree or higher,26.4,19.4,1.36,36.1,7.0,14.3
Disability,With disabilities,25.3,9.8,2.58,158.2,15.5,6.5
Disability,Without disabilities,32.5,15.7,2.07,107.0,16.8,6.0
Region,Northeast,34.9,24.6,1.42,41.9,10.3,9.7
Region,Midwest,30.9,15.4,2.01,100.6,15.5,6.5
Region,South,23.5,9.6,2.45,144.8,13.9,7.2
Region,West,39.7,17.2,2.31,130.8,22.5,4.4
Urban-Rural,Large central metropolitan,36.0,23.0,1.57,56.5,13.0,7.7
Urban-Rural,Large fringe metropolitan,28.7,13.5,2.13,112.6,15.2,6.6
Urban-Rural,Medium and small metropolitan,30.6,11.8,2.59,159.3,18.8,5.3
Urban-Rural,Nonmetropolitan,24.1,8.8,2.74,173.9,15.3,6.5
Income-Poverty Ratio,<1.00,39.8,21.1,1.89,88.6,18.7,5.3
Income-Poverty Ratio,1.00-1.99,33.7,14.6,2.31,130.8,19.1,5.2
Income-Poverty Ratio,2.00-2.99,29.4,12.3,2.39,139.0,17.1,5.8
Income-Poverty Ratio,3.00-3.99,21.5,11.8,1.82,82.2,9.7,10.3
Income-Poverty Ratio,>=4.00,21.7,16.5,1.32,31.5,5.2,19.2
